Date,5Price,5Open,5High,5Low,5Vol.,5Change %
"Aug 05, 2013",121.38,121.52,121.55,121.3,405.13K,-0.14%
"Aug 02, 2013",121.55,120.92,121.56,120.73,801.76K,0.59%
"Aug 01, 2013",120.84,121.39,121.42,120.84,701.47K,-0.44%
"Jul 31, 2013",121.37,121.36,121.45,120.88,821.53K,0.02%
"Jul 30, 2013",121.35,121.37,121.48,121.32,386.09K,-0.06%
"Jul 29, 2013",121.42,121.45,121.55,121.34,361.56K,-0.07%
"Jul 26, 2013",121.5,121.41,121.52,121.33,406.08K,0.25%
"Jul 25, 2013",121.2,121.24,121.45,121.09,596.66K,-0.04%
"Jul 24, 2013",121.25,121.54,121.54,121.12,745.61K,-0.21%
"Jul 23, 2013",121.51,121.59,121.6,121.38,453.58K,-0.03%
"Jul 22, 2013",121.55,121.58,121.7,121.49,421.67K,-0.02%
"Jul 19, 2013",121.58,121.46,121.61,121.36,329.77K,0.14%
"Jul 18, 2013",121.41,121.47,121.65,121.34,595.19K,-0.06%
"Jul 17, 2013",121.48,121.19,121.66,121.1,628.03K,0.22%
"Jul 16, 2013",121.21,121.16,121.28,121.08,478.61K,0.10%
"Jul 15, 2013",121.09,120.92,121.18,120.77,387.85K,0.17%
"Jul 12, 2013",120.89,121.07,121.33,120.88,517.30K,-0.17%
"Jul 11, 2013",121.09,120.91,121.16,120.88,756.73K,0.51%
"Jul 10, 2013",120.48,120.57,120.78,120.4,622.42K,-0.09%
"Jul 09, 2013",120.59,120.52,120.66,120.4,460.47K,0.08%
"Jul 08, 2013",120.49,120.02,120.54,119.85,524.43K,0.38%
"Jul 05, 2013",120.03,120.78,121.12,119.95,924.41K,-0.68%
"Jul 04, 2013",120.85,120.78,121.13,120.77,-,-0.05%
"Jul 03, 2013",120.91,121.08,121.34,120.77,431.24K,-0.14%
"Jul 02, 2013",121.08,121.05,121.17,120.95,435.75K,0.06%
"Jul 01, 2013",121.01,120.94,121.11,120.71,460.17K,-0.48%
"Jun 28, 2013",121.59,121.76,122.08,121.55,1.49K,-0.12%
"Jun 27, 2013",121.74,121.69,121.78,121.66,0.09K,0.26%
"Jun 26, 2013",121.43,121.45,121.59,121.33,1.14K,0.21%
"Jun 25, 2013",121.18,121.56,121.58,121.09,2.18K,-0.11%
"Jun 24, 2013",121.31,120.98,121.5,120.83,8.80K,-0.11%
"Jun 21, 2013",121.44,121.92,122.08,121.31,1.37K,-0.39%
"Jun 20, 2013",121.92,122.2,122.2,121.75,2.85K,-0.29%
"Jun 19, 2013",122.27,123.05,123.11,121.96,11.93K,-0.63%
"Jun 18, 2013",123.04,123.02,123.09,122.88,13.44K,0.00%
"Jun 17, 2013",123.04,123.05,123.22,122.98,7.97K,-0.08%
"Jun 14, 2013",123.14,122.96,123.21,122.96,20.30K,0.30%
"Jun 13, 2013",122.77,122.7,122.98,122.52,52.45K,0.18%
"Jun 12, 2013",122.55,122.66,122.77,122.52,15.23K,-0.11%
"Jun 11, 2013",122.69,122.61,122.74,122.27,16.96K,0.05%
"Jun 10, 2013",122.63,122.74,122.86,122.56,10.53K,-0.14%
"Jun 07, 2013",122.8,123.14,123.33,122.77,29.95K,-0.29%
"Jun 06, 2013",123.16,123.1,123.48,123.0,18.61K,0.06%
"Jun 05, 2013",123.09,122.95,123.2,122.94,62.81K,0.07%
"Jun 04, 2013",123.01,123.1,123.17,122.94,45.63K,-0.05%
"Jun 03, 2013",123.07,123.09,123.3,122.84,142.20K,0.07%
"May 31, 2013",122.98,123.16,123.36,122.8,470.44K,-0.11%
"May 30, 2013",123.12,123.15,123.23,122.98,1.27M,0.01%
"May 29, 2013",123.11,123.05,123.16,122.7,2.14M,-0.03%
"May 28, 2013",123.15,123.62,123.67,123.01,1.88M,0.05%
"May 27, 2013",123.09,123.15,123.18,123.01,-,-0.46%
"May 24, 2013",123.66,123.62,123.75,123.58,753.03K,0.03%
"May 23, 2013",123.62,123.61,123.84,123.46,1.19M,-0.01%
"May 22, 2013",123.63,123.98,124.17,123.59,1.48M,-0.25%
"May 21, 2013",123.94,123.91,124.01,123.78,797.67K,0.02%
"May 20, 2013",123.91,123.94,124.04,123.83,647.00K,-0.02%
"May 17, 2013",123.93,124.09,124.19,123.86,694.96K,-0.20%
"May 16, 2013",124.18,123.93,124.21,123.88,709.32K,0.22%
"May 15, 2013",123.91,123.8,123.99,123.75,707.52K,0.03%
"May 14, 2013",123.87,123.97,124.05,123.77,638.85K,-0.07%
"May 13, 2013",123.96,123.96,124.05,123.86,630.93K,-0.02%
"May 10, 2013",123.99,124.29,124.31,123.92,894.71K,-0.26%
"May 09, 2013",124.31,124.33,124.43,124.29,636.98K,-0.02%
"May 08, 2013",124.34,124.31,124.38,124.24,487.47K,0.03%
"May 07, 2013",124.3,124.38,124.41,124.27,378.41K,-0.02%
"May 06, 2013",124.33,124.45,124.45,124.31,363.69K,-0.06%
"May 03, 2013",124.41,124.77,124.79,124.37,873.89K,-0.29%
